LOST DUTCHMAN'S - STANTON CAMP SITE MASTER UPDATE,,,,,,,
,,,,,,,
,,,,,,,
,,,,LDMA Member,,,Non-Member
CAMP,Site #,Special Type,Site Type,Monthly Rate,Daily Rate,,Daily Rate
Stanton,82,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,83,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,84,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,85,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,86,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,87,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,88,,30 Amp - Full Hook-Up ,$510 ,$19 ,,$45 
Stanton,89,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,90,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,91,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,92,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,93,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
Stanton,94,Premium,30 Amp - Full Hook-Up ,$540 ,$21 ,,$45 
